TSNE1,TSNE2,Segmentation_ref
-5.4770603,-18.42214,B
20.357355,28.675014,A
-0.54996395,-37.470924,A
27.073675,34.82275,B
-26.989143,6.8460827,A
32.66334,30.449852,C
-1.7219719,25.38341,D
45.787415,-17.210365,D
32.716015,8.812624,B
-61.09459,4.8731656,B
-62.890347,-2.6345618,D
-32.775917,1.7654961,D
34.211426,8.552205,A
-42.98994,24.322916,D
-54.702374,-7.236515,D
-1.3462691,-33.554462,C
37.646812,-7.309308,D
26.968943,14.755526,B
0.92933095,28.876282,B
53.63605,-14.188762,C
42.30759,28.413519,A
56.45324,15.71113,D
-37.408424,-32.127693,A
45.29408,28.833303,B
17.87095,34.05737,B
36.110703,29.67092,B
14.157755,-29.597216,A
-32.9528,-12.824525,B
68.18069,1.0452385,A
58.156376,22.881573,C
5.0531907,-45.22334,C
17.305708,23.507381,A
-58.748886,-10.887855,B
35.92954,9.674226,D
11.894611,31.86699,D
-17.985033,44.8578,C
21.15809,-38.014606,A
29.187784,16.001528,B
34.922623,9.55292,C
47.972828,18.701189,B
-53.216625,6.9503865,A
29.812578,35.725155,D
-47.59811,14.0139,A
48.25923,-11.828938,C
64.94755,1.3453084,A
67.24166,0.72548836,C
-22.273703,21.265652,B
27.764273,14.491538,D
-35.932213,23.983883,D
42.522564,23.05667,B
56.86833,22.690393,B
2.8754911,-45.3169,C
-20.791044,-18.114681,A
32.406345,-1.5854254,B
34.373608,36.898914,D
69.23226,11.284936,C
-42.137207,-28.3421,A
-13.463285,-25.165873,D
-21.06152,-23.181545,B
26.149015,12.897766,D
-51.160343,14.308548,C
48.109753,-22.011248,C
43.135143,22.957396,A
42.88667,-20.0802,A
20.488447,-18.386908,A
-20.659523,37.407974,D
-40.178726,-38.061325,C
70.19873,11.971733,A
-29.52839,11.718859,B
48.10536,-2.0947423,B
-24.304491,-4.590424,D
56.227192,1.8420167,C
47.714317,-22.289127,C
-34.426712,-13.789365,D
-23.565056,-22.72115,B
68.47656,11.847795,D
7.7041683,-41.997375,B
48.293465,-20.211542,A
51.15022,-10.426595,C
43.304817,-21.312267,D
-6.0573034,15.419397,A
53.25592,-14.159792,D
68.49795,0.36017963,D
-35.988163,-30.358225,D
17.155657,-36.69656,D
38.713608,12.553953,A
68.86926,12.36568,C
-35.42748,25.776281,A
-23.521576,-22.560062,D
-24.805882,28.750982,D
51.91065,23.508554,B
66.4876,11.705624,C
-43.80408,-32.38821,C
17.860518,-32.82846,A
-43.949715,-40.92283,B
42.342625,-27.348795,C
-38.550842,-38.674988,B
-58.831287,-1.2585758,C
31.440826,16.014505,B
-0.5301761,-33.159847,B
16.070822,-20.527884,C
-43.28698,-29.47063,B
15.979519,-25.721521,A
-24.48471,-12.878552,D
19.73658,-26.54933,D
-44.756252,-38.731346,A
-24.09503,-2.1746612,D
7.735907,-44.794434,D
19.756874,32.143135,C
57.260197,2.822718,D
5.00245,-50.374077,A
52.547333,-3.3268616,B
28.908085,2.295848,B
19.386362,23.640905,B
52.024464,-2.0198543,B
-0.6699901,-38.419483,B
-34.65298,-15.294285,A
-23.015255,-12.913247,D
8.762421,-43.796505,D
-41.20756,-39.443405,C
-5.5273438,-39.303284,B
4.790924,3.2093854,A
37.940132,29.675968,A
27.39441,11.623534,D
8.813815,-32.441784,D
30.11426,11.585861,D
40.06142,-16.790071,A
56.033337,15.723419,C
-25.750149,-12.405154,B
-21.577808,21.561419,D
22.650452,21.941124,A
65.41465,-0.7869777,B
-61.277615,-2.2458806,C
30.724194,6.770987,B
68.61156,-1.0487946,B
-23.958242,-16.360079,A
68.09328,10.836523,B
69.96614,12.684171,A
32.232815,13.409982,D
56.832855,2.57642,B
-54.114662,-6.0240273,A
44.199028,28.711409,C
32.228092,-1.4559051,B
-4.6230087,-41.318718,C
14.4573555,-0.1687492,D
19.791092,-19.446625,A
-39.54458,24.62319,A
12.025375,-26.88721,B
-17.3731,3.8338141,D
2.494659,-49.617737,C
-21.347477,-28.93854,A
43.869305,-20.49308,A
45.28796,-16.253778,B
1.3042309,28.82563,C
18.527248,-32.379288,A
0.200262,-30.858559,D
-9.142564,-42.78235,A
-57.002922,-12.91165,C
1.6812274,24.701982,A
1.2532275,-27.909986,B
-38.43767,-35.775562,A
40.763683,-13.056538,A
44.95722,-22.11469,B
-0.8621835,-0.20917624,B
-35.16682,0.84986776,A
-3.7546325,34.195602,C
5.6214647,-42.178978,C
5.121791,-41.06793,C
68.28146,11.745471,C
-25.371708,-21.055082,A
-5.2160397,-42.286232,B
67.96823,1.4623419,C
29.98272,33.945652,D
-20.454023,-13.006905,A
55.821987,14.586006,B
-49.781536,-27.576834,B
55.14829,22.732437,A
14.026339,-29.704695,D
45.3335,-21.36869,D
34.31749,11.367823,A
18.103445,25.365244,C
-4.71335,28.810616,D
-25.972198,44.915974,B
46.673347,18.993572,C
-40.35422,23.077858,D
-21.500582,42.19965,B
-41.64422,-26.261946,A
4.93921,-51.31692,D
-0.83409935,35.453434,A
31.24582,-0.7789664,B
39.43278,37.812237,C
-1.3132154,-43.3335,B
42.10808,-11.209901,A
-17.13004,-4.566701,C
14.277617,-2.5834076,A
17.636982,-35.866108,C
47.81093,-14.247099,C
-24.609243,33.90504,A
17.940565,-36.573906,A
30.576885,11.808065,C
-62.1621,-2.8859203,D
0.50202453,36.21543,D
55.756752,1.8952687,D
67.63658,2.0149946,A
17.576124,17.562412,A
-22.838108,-31.538763,D
-63.601482,-4.6215243,D
-30.462454,4.9385023,D
-41.03283,-24.834604,C
27.553055,0.11881593,B
-34.895542,35.288803,A
0.2048976,40.122498,B
-11.549329,-0.04282317,D
63.68971,3.806565,C
-32.693813,28.443047,D
-33.02413,9.258819,B
32.232796,13.409088,C
-41.864826,-38.83448,A
21.572899,-42.253983,A
17.45826,7.946343,A
-5.583743,-43.120384,C
-57.315525,6.5462594,A
-41.853436,-28.418661,B
16.936596,-36.267033,A
17.1334,5.3676467,D
65.1158,16.062408,A
51.904728,-1.9010715,C
11.360467,33.283543,A
-60.782555,-9.280121,D
18.254404,-38.401,D
27.500624,38.15234,D
-59.88644,4.954826,D
-63.507137,-1.288229,C
-46.015297,20.991755,D
9.986431,-48.593918,B
1.0172585,-30.618813,A
58.029915,16.124765,D
-26.921871,3.1452742,D
68.840256,1.9603679,D
4.6123834,-5.940272,C
29.813536,16.327564,B
47.649815,-12.796491,C
42.226017,29.411572,B
52.419674,-18.976574,C
65.40025,3.7173555,C
0.20181657,36.01101,A
-46.73065,-0.8777279,D
-46.506298,20.454157,D
-2.1192875,-18.982975,A
-4.7392445,-37.24794,B
-23.04349,-5.250439,A
-14.907274,-16.284477,D
44.308456,17.723862,B
-40.444935,-39.713524,B
-22.919743,-12.567115,B
41.989887,23.014532,C
6.1376696,8.406461,A
16.997969,0.7167104,A
-15.4871645,31.09866,A
12.199172,-26.343748,A
50.19239,23.69474,C
44.86386,29.65867,A
-13.322154,-17.23299,D
-49.21111,12.0327,D
-17.110752,-4.570814,A
9.874981,-48.646484,D
14.837193,-41.229527,B
-41.267296,-39.204308,C
-38.666737,26.038815,D
15.50467,-2.227057,C
-14.270918,26.59503,A
67.24166,0.72548836,B
64.74695,1.1966112,A
-20.980957,-25.975252,D
47.89998,22.03499,C
-27.263931,3.6082036,A
70.87833,-1.6015406,C
-29.585918,-11.616191,A
2.8818753,-6.8843584,A
17.05232,8.155139,D
16.083187,23.761564,B
-0.14175975,-32.6035,B
19.859646,-39.85916,C
21.219347,-38.65526,C
-47.47529,13.303462,D
-43.37221,-35.115185,A
-48.213234,-33.15129,B
45.012108,26.908945,D
-20.043158,42.216995,D
-19.580576,25.565456,C
19.585907,-35.282112,A
40.837494,-19.83128,D
-21.490631,-27.47836,C
0.44668317,27.922953,D
-0.4882527,27.566608,B
1.2364174,29.027143,B
-24.028717,-16.316214,A
-14.642956,32.960693,A
-38.678486,-38.229942,A
-23.257887,-25.856943,A
-41.997776,-28.442965,B
-17.331905,-22.668203,A
-16.31137,29.087124,A
18.915426,-39.224815,D
-19.149725,-4.580434,B
-40.455204,-28.93508,B
16.874313,-2.8477151,C
8.732534,35.098427,A
-44.613102,7.7262974,D
-22.06426,-5.9135456,A
15.716403,-19.10448,D
-20.302715,36.72222,C
-3.7668798,34.21189,D
16.140152,-35.67571,B
5.091261,22.567554,A
20.587664,-37.923717,C
-2.0909767,-30.415031,D
17.19853,-19.179398,A
-15.762061,30.348225,A
-7.401736,-44.6736,D
14.769956,-39.427963,B
-15.8919,2.513498,A
-46.24496,-37.1567,B
-17.42342,-1.1005232,B
-20.580322,43.732677,A
-5.5578084,-17.95478,B
-21.633858,-22.014914,D
-22.486048,-2.5180614,B
19.610659,30.45042,A
50.08088,0.92547524,B
58.22533,13.408076,B
-15.934896,-27.564377,A
-5.694863,-42.62944,D
14.651375,-32.64133,B
-45.93314,-36.301666,A
-27.587002,37.641617,D
-43.282196,-33.844643,D
-12.675336,-21.102238,A
-4.7439427,-37.35107,A
33.91877,6.8259926,C
22.213552,11.717634,B
18.021616,24.89888,B
-23.428072,-24.50891,B
7.6931,29.304054,D
0.45380846,-30.501585,D
-1.8659924,-29.342197,D
-48.753723,-22.87865,D
-18.85728,-4.386176,A
-25.198711,-21.899572,B
-2.1650817,36.9947,C
18.58371,31.095211,C
-36.42728,-15.442174,A
0.015478286,35.551838,A
-15.394359,31.997242,A
-18.071281,-19.187458,A
35.83434,-9.791109,A
27.587692,-6.6349072,D
4.864667,-4.3779807,D
-15.956736,23.634445,A
-36.993687,10.911587,D
-38.02632,6.024123,A
-37.870884,8.66183,D
45.535187,33.663322,A
55.446617,1.3576635,C
-25.407837,33.000153,C
-36.816875,8.699072,A
-39.752552,-39.916267,B
-37.89735,8.383507,D
-21.175594,21.735498,D
-40.63359,26.138418,D
-23.687714,-16.546915,C
-20.881325,21.867094,A
-22.016306,37.715134,D
13.476492,-34.536133,A
-25.171839,39.029938,D
-2.9409018,-20.954552,A
1.817103,25.728806,A
-7.037808,25.311653,A
37.894737,-22.99032,C
66.403305,14.0842085,A
-52.973083,-14.032367,A
-61.610195,-3.0654986,A
-4.465538,29.148119,A
-20.572065,37.439823,C
-35.032936,36.395935,B
-25.085737,38.808983,B
18.26738,-33.517506,B
18.916836,-33.16892,B
37.652668,35.395786,D
-12.359767,29.426336,A
-7.94284,-44.0926,B
-16.696358,-23.547388,B
-1.5347608,-29.810368,A
-27.056133,31.130741,B
-2.1331162,29.072805,A
-21.65085,37.837227,A
17.155657,-36.69656,B
43.188988,-11.223699,B
-23.696037,-28.608942,B
-20.00041,-23.68911,A
52.470688,3.359716,A
-25.134716,40.363045,D
-40.166267,25.728521,A
-32.224014,25.776394,A
7.5158844,12.9391,B
0.10572806,40.235332,B
-24.147219,45.612663,B
-21.73839,37.909584,D
-19.639776,44.793354,D
-33.586266,25.758612,D
-18.429058,-26.861301,B
-18.064116,43.339844,B
-32.655678,25.64501,B
13.669297,34.416393,D
13.466751,34.006832,A
-23.647537,-23.252632,A
21.738842,20.936762,A
-15.822786,-27.498613,B
-61.092182,4.873733,D
-57.897774,-16.177488,D
0.78781724,-25.270462,A
18.694956,-24.190598,B
-1.5310928,-23.898014,C
0.09282263,-31.001177,C
17.292048,33.929104,B
-23.222288,-21.237526,B
-20.282885,-17.348545,B
-18.037085,31.447794,A
-16.714308,26.2383,D
-16.983662,31.900558,A
-2.3795826,37.239697,D
-22.514158,-5.238902,D
-18.248041,43.011887,B
11.027155,35.34615,A
-18.021896,31.500612,B
2.9892983,42.81118,B
-25.345158,37.994106,D
-27.0492,-28.270275,C
-13.243053,31.204716,A
-27.854946,-19.632874,A
-8.128411,24.475649,C
-20.174551,36.49283,C
15.579454,-26.13482,C
-19.830345,-24.473516,A
-25.347591,33.118946,C
-26.764668,-28.26246,B
49.129513,23.5864,D
-20.164488,-12.976372,A
45.33523,19.65782,B
-21.976278,42.226234,D
-20.665659,14.646141,B
-20.739891,-17.44032,D
2.657064,-46.196613,D
-57.959084,-16.14915,D
33.820385,31.525875,C
-18.467098,-16.379587,B
-40.445,-39.713345,C
-19.60542,38.34317,D
-33.40405,7.033411,D
8.747394,-9.825869,A
43.165745,-20.136162,B
-46.86332,0.70004195,D
12.230379,-0.36699224,A
-44.680557,7.5654006,A
-36.424503,5.3585596,D
-32.255592,27.846434,D
-40.674255,22.163702,D
-32.64753,31.374191,D
-52.6655,2.6192596,D
12.383346,1.5847625,A
-26.801067,-14.5389805,D
-52.829754,-2.3626056,A
38.437675,21.84209,A
7.7383084,30.994526,A
-0.6781706,4.960865,D
35.603294,-8.136976,D
-1.7728112,-44.290962,B
54.651665,14.548181,B
-3.8934433,-44.672436,D
35.452805,-8.226325,A
-15.714748,33.79239,C
40.03319,-9.288662,C
26.052217,1.5518837,B
15.522258,23.794165,D
-3.832565,-27.313375,D
-5.943343,-25.850048,D
-19.305786,11.215146,C
-24.14494,4.669714,A
33.50199,-7.2588077,B
-52.95151,-2.5796468,B
-26.914438,-14.49587,A
-46.501873,-34.858032,C
-19.979994,7.005691,D
-51.801792,3.421029,B
11.510972,-12.875887,A
-48.706112,-30.748816,D
-54.24109,1.1241874,D
-21.295013,8.269457,D
37.160145,-7.4339414,B
13.683389,27.647505,A
-54.925964,10.130021,D
-17.230505,24.89259,D
-33.840923,-18.57219,D
21.536804,-22.779402,A
-42.00651,-30.28145,A
0.26789063,-49.82435,D
65.61098,15.764003,C
27.125086,36.363438,D
-31.688723,7.348229,B
39.013977,20.008102,C
-34.6141,5.924368,A
-22.370237,7.4972754,A
-27.694391,-18.122961,D
28.521784,-19.63845,A
0.32914615,-49.832092,C
-21.314236,5.7838764,B
13.446281,-19.552526,A
-32.45726,37.928055,B
-1.2596644,35.484455,A
10.499575,34.378284,D
45.1758,-25.584826,A
-14.250802,26.58797,B
-33.514645,37.99484,D
-17.792068,-18.741196,D
-20.217716,11.317128,A
-3.2638566,41.821865,D
7.766932,32.22746,C
-32.436665,36.78749,B
-20.686966,-26.011795,A
0.67993665,16.196594,A
-31.258354,24.282127,C
20.50502,-31.474201,A
24.38249,-5.6159844,B
-3.8833156,-44.696293,A
42.5559,-20.980736,B
11.844183,-1.9452034,A
23.40795,21.357157,B
41.917538,27.156279,B
-5.9316874,25.951897,A
-36.90631,-27.638094,C
16.35995,28.733072,B
-18.743692,1.2129623,B
27.223928,10.600873,C
32.488197,12.9331,C
-57.90988,-5.518106,A
-38.55429,-39.54471,C
68.64201,1.807952,A
-33.85937,-18.545616,B
3.4539595,-52.00107,C
-49.57911,-21.38317,D
20.20965,-26.596174,D
2.9359314,36.01704,A
4.9132924,-42.364918,B
55.243587,22.750418,A
62.60668,-2.1004393,A
69.700806,1.137612,A
47.460835,16.922716,A
19.026981,-33.374695,A
-42.46685,-20.46229,C
-52.955322,-13.879718,C
9.108203,-1.4541168,B
-60.800674,4.143828,C
-13.432527,-25.045097,D
-38.86745,-37.202957,D
4.2573643,-50.92667,D
17.235468,-26.157713,D
-26.99755,6.6615386,D
-37.58288,-34.278645,A
18.760696,1.3897418,D
20.094213,-34.898888,A
-52.47423,-16.199274,D
19.731365,-19.502577,A
17.627098,20.830362,C
-55.199356,0.14678381,A
-42.36798,3.2928393,B
-47.50158,-28.77975,C
-32.393314,-20.473864,B
1.6680186,-24.870157,B
52.12754,-17.660614,B
15.147318,-1.5801328,D
-55.93758,-0.45758313,D
3.6254492,41.232674,B
11.186939,12.684133,B
-46.240402,20.998655,B
18.442692,7.148746,D
-41.078346,-26.392492,C
-38.819565,28.081963,A
-39.120617,-26.267195,D
-46.46651,-34.934174,A
69.746216,13.783394,D
58.718227,16.530996,A
30.7902,12.456795,A
-41.65672,0.5122416,D
32.28986,9.122655,C
-23.853952,-2.2944539,A
2.732943,-51.826862,D
-51.829098,7.061234,A
9.172728,-14.585025,B
-55.942394,-0.47637054,D
29.743832,36.159718,D
-25.386726,-20.271679,A
7.223401,40.509113,D
56.688828,23.305706,C
-60.112812,5.3282676,D
34.30519,31.73531,C
4.174465,-44.510563,D
11.651115,-5.925505,D
23.549658,-6.206494,D
20.011814,-8.342364,B
-58.829575,-1.2183924,D
-32.94921,-16.599888,B
33.26374,10.500941,C
-48.94627,-32.336147,C
53.891987,14.29968,A
-16.232082,-28.450897,B
20.917274,-10.655777,D
-43.204903,22.484041,A
17.286171,-42.291073,D
54.515488,14.515486,D
4.586852,-50.603134,B
-33.472267,20.442394,D
3.0398607,42.70032,B
-35.968517,5.5519967,D
38.395115,22.372261,C
47.43396,-4.852473,C
31.972181,24.595377,A
-49.0761,-2.5461547,D
1.3208168,-1.014265,B
-47.325066,3.3440938,D
28.346209,-18.738607,A
44.524067,18.921701,C
35.939816,28.0898,D
65.16775,-0.9386404,B
37.152428,37.159454,C
22.104843,-19.38401,C
5.538252,5.570245,A
-34.127472,5.9782343,D
-41.551422,24.009756,A
-19.60724,7.050594,D
39.408684,-8.559284,C
-31.823032,7.3322544,D
2.7324145,34.740074,B
28.339542,5.5886326,A
35.839813,28.362707,B
-27.644527,37.842934,A
-34.523922,20.951674,C
-52.815712,-2.3588324,B
-45.76621,4.9069533,D
-47.57509,2.8051174,D
-41.381836,25.693556,C
51.904198,-12.779261,C
47.629997,19.159832,B
-1.8920056,-20.432741,A
-32.407436,36.60862,A
-53.576485,-0.6165049,A
-28.823666,-29.481894,D
-32.65251,31.185442,A
-0.81843084,41.87601,C
-3.8230383,14.121343,B
-16.402224,24.883297,B
-29.07547,7.3695045,A
25.666218,36.8339,A
8.713067,-10.125632,D
-5.9957557,12.8110485,D
-54.2519,0.9461115,D
-52.078644,-0.32105368,A
-42.759132,24.123598,A
-57.928898,-16.158543,A
-8.202973,-43.89892,C
-21.09679,-26.919603,A
-51.303455,-24.30392,D
-27.7841,-27.79235,C
-59.871002,2.6946075,D
-20.939175,44.551052,B
1.4591864,-3.1976867,D
-35.628075,27.861177,C
-26.986176,6.811607,B
-32.081264,26.928583,A
19.433683,-33.88164,A
-21.211864,7.2677407,A
47.62658,-2.1601105,A
13.158855,-18.663715,C
-25.09269,39.778072,A
-44.059883,-19.289036,A
-4.7266383,28.808758,A
17.10415,-26.073658,A
23.756681,-24.437674,A
-23.694767,2.946242,B
-27.614748,-24.013336,C
-4.1122885,-24.969715,D
-44.081852,0.16643654,B
23.91456,2.692527,D
42.18991,-13.836733,B
-37.504837,2.579685,C
0.75846523,-25.318516,B
-43.965324,3.7742116,B
-46.65539,-3.6713524,B
69.51708,12.985335,C
12.041365,-47.97803,B
5.236099,-52.907513,D
-47.209293,12.370809,D
-26.926098,-1.9372756,D
-62.481277,-0.98360246,D
70.08968,2.9136198,C
56.76131,16.54075,B
67.798325,10.851797,C
-33.9028,27.937658,A
-63.489285,-4.840401,D
-29.005104,2.7578475,D
30.849451,15.924617,B
29.237616,11.302387,D
17.155142,5.3461833,B
-25.304628,-21.90225,B
27.01486,13.811698,A
10.915246,35.48623,B
-18.499529,-24.844084,D
-21.775896,-24.195423,A
27.140701,34.89475,D
20.691677,20.30612,B
0.44682178,27.922937,D
16.562748,-26.667828,D
-50.629658,12.28143,D
-48.95217,12.870449,D
-42.165802,-27.191465,B
-48.744446,-22.92281,D
-39.776245,-39.7232,A
-49.70953,-27.78587,D
-43.890205,-22.239937,A
-1.5219349,-33.82867,B
-19.479061,43.190544,B
-47.38243,-27.907307,B
48.30334,18.745491,A
-49.054897,12.405915,B
-59.00934,4.59485,D
-29.906456,-11.162803,A
22.876244,-26.409557,A
28.603348,11.283761,B
-39.948784,-33.128338,D
18.676214,24.756418,A
-39.858707,-39.132607,B
41.756603,-19.350864,D
23.250296,-9.309872,B
26.70485,13.494223,A
33.69105,11.004318,A
35.91226,7.328859,D
18.48285,37.26461,B
-17.647017,-1.1568164,B
-9.239539,1.7821945,A
-17.278437,-23.233974,D
22.896473,-26.311398,A
18.371885,26.73852,D
10.752927,-37.715,A
27.321262,-6.6484084,C
17.860909,-32.829376,A
22.03691,10.664265,D
46.665337,-17.689016,C
52.72177,-1.8370132,A
-18.65333,44.506767,A
13.048302,4.063124,D
49.41451,-4.3523912,B
-20.595594,41.152737,D
18.814133,-34.270523,B
-59.213657,2.8518043,C
22.944149,-8.384266,A
39.762226,-8.767662,C
47.836185,18.661648,B
44.97718,28.88103,A
17.116734,-20.829426,D
7.3191404,-42.780518,A
14.364958,-29.460821,D
16.8266,-34.32224,A
-35.677242,-37.19649,A
-1.1413103,-42.56256,C
-24.752722,-12.845431,A
-39.215797,-34.187588,C
38.021713,-22.980972,B
23.453089,0.4944741,C
42.04473,33.95045,A
31.515432,12.702712,D
46.21242,-17.378748,B
-48.56451,-24.565336,D
11.878218,31.872423,B
-23.445415,-21.891861,D
14.702834,-3.212586,D
-27.705091,31.654444,D
-43.81923,-23.352459,C
-38.41963,-39.371822,A
39.297997,34.642555,C
37.314175,-15.571456,D
44.084732,33.694046,C
29.243195,12.140391,C
13.43122,-34.639263,C
-54.45863,6.517841,D
42.1847,-26.668665,D
10.191468,32.823162,D
46.133102,-23.597893,B
43.83524,-21.641308,C
10.641854,24.275818,B
-62.00392,-1.6588824,D
21.785244,10.267723,C
-39.308453,25.00775,A
38.07478,35.93254,B
-21.201702,-13.084524,D
-49.671207,-22.871414,A
-23.077164,29.664955,D
36.366806,34.961376,A
-36.57291,-15.134715,A
21.051655,-37.73176,A
-13.392715,-17.091494,A
-42.55331,-20.247557,A
43.450237,-19.332172,C
56.06527,2.3671353,B
15.201869,7.2540364,D
-28.660587,1.5367956,A
57.685177,16.946575,A
-39.979523,-33.09357,D
-23.431255,34.838383,D
20.790451,37.419052,B
-12.975572,-21.136597,A
-54.476658,-6.971928,C
-0.5986755,-27.422564,C
-13.376602,-16.632223,A
-25.23719,-22.744148,D
15.392118,12.688093,C
45.577053,-17.105402,A
32.87203,10.196545,B
47.55239,18.601473,A
-31.025497,2.0727348,D
32.580494,-0.8258785,C
41.02147,-4.1048694,A
49.251053,18.79867,D
-40.31691,-37.760708,C
14.169394,28.81696,D
69.03724,0.6751543,A
69.997955,11.763363,A
-10.042997,-44.828617,D
52.96115,-4.423121,B
-5.597382,-41.923874,B
68.011444,12.540888,A
-35.18895,37.40252,D
-37.25744,14.273039,D
-17.237173,-16.597929,A
-26.747883,2.9198232,A
-36.8118,-31.687853,B
-20.820072,-24.571875,D
-26.405828,29.883785,A
17.178879,-42.143402,A
-33.282864,-8.970683,D
-26.556736,-2.4008405,A
19.645746,30.50147,A
-3.1903164,29.789932,A
-49.13028,-24.333368,A
17.86081,-32.829025,C
51.15247,-10.433242,D
-19.378761,-29.302227,C
-56.76971,-13.048808,A
-44.547024,5.4148693,A
-6.1928368,9.572889,D
67.805534,11.702269,D
-20.364044,43.92014,A
-42.793224,3.4338276,D
67.462296,11.99487,A
-44.242966,-21.261509,A
28.317621,1.4497077,B
-31.80695,-7.6255393,D
-30.617172,-21.932236,A
16.89593,-35.918056,A
30.535381,35.936752,D
-33.16441,0.15009566,A
-20.093592,29.777573,D
22.323198,12.563339,D
-22.47654,26.787352,B
0.51353306,34.511898,A
